proyecto;x0;oregon;alerce;ñire;ciprés;ton.CO2
1;1;3437;5791;3268;10649;27698
2;1;12801;4558;5751;14375;57634
3;1;6136;6223;15175;2811;47172
4;1;11685;3212;639;964;49295
5;1;5733;322;534;2052;24115
6;1;3021;4348;839;2356;33612
7;1;1689;634;318;2209;9512
8;1;2339;1895;61;605;14755
9;1;1025;834;734;2825;1057
10;1;2936;1419;331;231;15394
11;1;5049;4195;1589;1957;27843
12;1;1693;3602;837;1582;17717
13;1;1187;2679;459;18837;20253
14;1;973;3951;378;524;37465
15;1;14325;43;10781;36863;101334
16;1;7737;9043;1394;1524;47427
17;1;7538;4538;2565;5109;35944
18;1;10211;4994;3081;3681;45945
19;1;8697;3005;1378;3338;4689
